"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","sb.attempts","SBSR","PA","totalRuns","OBP","SLG","AB_per_HR"
"T Holmes","RF",1320,4992,698,1507,292,47,88,581,480,122,40,0,0.302,0.366,0.432,0.795212691183086,2157,0.13,3.9344262295082,40,100,5472,1279,0.36312134502924,0.432091346153846,56.7272727272727
"D Miller","C",989,3182,361,834,205,4,87,406,303,772,5,5,0.262,0.329,0.411,0.737317605216574,1308,0.149,0.392487046632124,10,50,3485,767,0.326255380200861,0.411062225015713,36.5747126436782
"G Myers","C",1108,3042,333,776,150,7,87,396,268,539,3,12,0.255,0.313,0.395,0.710213903637097,1201,0.14,0.49721706864564,15,20,3310,729,0.315407854984894,0.394806048652202,34.9655172413793
"B Broussard","1B",705,2136,275,561,114,13,87,314,171,466,15,7,0.263,0.324,0.45,0.767669720391773,962,0.187,0.366952789699571,22,68.1818181818182,2307,589,0.317295188556567,0.450374531835206,24.551724137931
"K Kouzmanoff","3B",685,2525,273,650,143,8,87,371,125,500,6,1,0.257,0.302,0.424,0.716215206426303,1070,0.167,0.25,7,85.7142857142857,2650,644,0.292452830188679,0.423762376237624,29.0229885057471
"M Duncan","2B",1279,4677,619,1247,233,37,87,491,201,913,174,57,0.267,0.3,0.388,0.684912243606079,1815,0.121,0.220153340635268,231,75.3246753246753,4878,1110,0.296842968429684,0.388069275176395,53.7586206896552
"D DiMaggio","CF",1399,5640,1046,1680,308,57,87,618,750,571,100,62,0.298,0.383,0.419,0.799253321346519,2363,0.121,1.31348511383538,162,61.7283950617284,6390,1664,0.380281690140845,0.418971631205674,64.8275862068966
"B Diaz","C",993,3274,327,834,162,5,87,452,198,429,9,17,0.255,0.297,0.387,0.68422341644404,1267,0.132,0.461538461538462,26,34.6153846153846,3472,779,0.297235023041475,0.386988393402566,37.632183908046
"J Beckley","1B",784,9526,1600,2930,473,243,87,1575,616,270,315,0,0.308,0.361,0.436,0.785284980983658,4150,0.128,2.28148148148148,315,100,10142,3175,0.349635180437783,0.435649800545874,109.494252873563
"Z Cozart","SS",839,3088,408,764,158,24,87,305,219,549,21,4,0.247,0.3,0.399,0.695888157637042,1231,0.152,0.398907103825137,25,84,3307,713,0.297248261263985,0.398639896373057,35.4942528735632
"L Cain","CF",1171,4314,626,1220,225,24,87,454,362,854,190,44,0.283,0.343,0.407,0.744906570725031,1754,0.124,0.423887587822014,234,81.1965811965812,4676,1080,0.338323353293413,0.406583217431618,49.5862068965517
"C Neal","2B",970,3316,461,858,113,38,87,391,337,557,48,36,0.259,0.329,0.394,0.721579533585595,1308,0.135,0.605026929982047,84,57.1428571428571,3653,852,0.327128387626608,0.394451145958987,38.1149425287356
"D Unser","CF",1799,5215,617,1344,179,42,87,481,481,675,64,60,0.258,0.319,0.358,0.678597788089672,1868,0.1,0.712592592592593,124,51.6129032258064,5696,1098,0.320400280898876,0.358197507190796,59.9425287356322
"S Gennett","2B",793,2704,365,773,149,16,87,360,156,571,24,12,0.286,0.327,0.449,0.774159494351802,1215,0.163,0.273204903677758,36,66.6666666666667,2860,725,0.324825174825175,0.449334319526627,31.0804597701149
"P Mullin","RF",864,2493,381,676,106,43,87,385,330,312,20,27,0.271,0.358,0.453,0.809226514367754,1129,0.182,1.05769230769231,47,42.5531914893617,2823,766,0.356358483882395,0.452868030485359,28.6551724137931
"H Kuenn","SS",1833,6913,951,2092,356,56,87,671,594,404,68,56,0.303,0.357,0.408,0.765871136117501,2821,0.105,1.47029702970297,124,54.8387096774194,7507,1622,0.357799387238577,0.408071748878924,79.4597701149425
"J Wockenfuss","C",795,2072,267,543,73,11,86,310,277,278,5,11,0.262,0.349,0.432,0.781517149333241,896,0.17,0.996402877697842,16,31.25,2349,577,0.349084716900809,0.432432432432432,24.093023255814
"S Andrews","3B",569,1704,196,375,76,4,86,263,191,515,7,10,0.22,0.298,0.421,0.719455386673604,717,0.201,0.370873786407767,17,41.1764705882353,1895,459,0.29868073878628,0.420774647887324,19.8139534883721
"T Flowers","C",802,2456,267,582,111,5,86,301,227,852,2,6,0.237,0.319,0.391,0.692814785092773,961,0.154,0.266431924882629,8,25,2683,568,0.301528140141632,0.39128664495114,28.5581395348837
"P Seerey","LF",561,1815,236,406,73,5,86,261,259,485,3,8,0.224,0.321,0.412,0.732206699235717,747,0.188,0.534020618556701,11,27.2727272727273,2074,497,0.320636451301832,0.411570247933884,21.1046511627907
"M Heath","C",1325,4212,462,1061,173,27,86,469,278,616,54,40,0.252,0.3,0.367,0.665264796519436,1546,0.115,0.451298701298701,94,57.4468085106383,4490,931,0.298218262806236,0.3670465337132,48.9767441860465
"T Teufel","2B",1073,3112,415,789,185,12,86,379,387,531,23,19,0.254,0.336,0.404,0.739694999158775,1256,0.15,0.728813559322034,42,54.7619047619048,3499,794,0.33609602743641,0.403598971722365,36.1860465116279
"D Meyer","1B",1118,3734,411,944,153,31,86,459,219,277,61,29,0.253,0.293,0.379,0.673692737550525,1417,0.126,0.790613718411552,90,67.7777777777778,3953,870,0.294206931444473,0.379485806106052,43.4186046511628
"B Huskey","RF",642,2078,259,555,98,4,86,336,164,384,21,17,0.267,0.318,0.442,0.762947972858689,919,0.175,0.427083333333333,38,55.2631578947368,2242,595,0.320695807314897,0.442252165543792,24.1627906976744
"C Tracy","3B",938,2706,317,741,172,9,86,358,233,473,11,7,0.274,0.333,0.439,0.770799179271449,1189,0.165,0.492600422832981,18,61.1111111111111,2939,675,0.331405239877509,0.439393939393939,31.4651162790698
"B Tolan","OF",1282,4238,572,1121,173,34,86,497,258,587,193,100,0.265,0.314,0.382,0.688972862879321,1620,0.117,0.439522998296422,293,65.8703071672355,4496,1069,0.306717081850534,0.382255781028787,49.2790697674419
"W Crawford","RF",1210,3435,507,921,152,35,86,419,431,664,47,36,0.268,0.349,0.408,0.757575730192903,1401,0.14,0.649096385542169,83,56.6265060240964,3866,926,0.34971546818417,0.407860262008734,39.9418604651163
"T Paciorek","LF",1391,4121,494,1162,232,30,86,503,245,704,55,38,0.282,0.325,0.415,0.737696088201355,1712,0.133,0.348011363636364,93,59.1397849462366,4366,997,0.322262940907009,0.415433147294346,47.9186046511628
"W Greene","3B",655,1902,254,446,76,12,86,307,260,477,17,6,0.234,0.326,0.423,0.749262424965784,804,0.189,0.545073375262054,23,73.9130434782609,2162,561,0.326549491211841,0.422712933753943,22.1162790697674
"J Collins","1B",908,2329,404,596,79,24,86,329,338,263,27,21,0.256,0.35,0.421,0.771417044316433,981,0.165,1.2851711026616,48,56.25,2667,733,0.350206224221972,0.421210820094461,27.0813953488372
"E Charles","3B",1005,3482,438,917,147,30,86,421,332,525,86,35,0.263,0.33,0.397,0.724376047977056,1382,0.134,0.632380952380952,121,71.0743801652893,3814,859,0.327477713686418,0.396898334290638,40.4883720930233
"J Frederick","CF",805,3102,498,954,200,35,85,377,210,176,23,0,0.308,0.357,0.477,0.828238443640849,1479,0.169,1.19318181818182,23,100,3312,875,0.351449275362319,0.47678916827853,36.4941176470588
"C Flood","CF",1759,6357,851,1861,271,44,85,636,444,609,88,73,0.293,0.342,0.389,0.728255338737558,2475,0.096,0.729064039408867,161,54.6583850931677,6801,1487,0.338920746948978,0.38933459178858,74.7882352941176
"E Kirkpatrick","C",1311,3467,411,824,143,18,85,424,456,518,34,39,0.238,0.327,0.363,0.68913063345666,1258,0.125,0.88030888030888,73,46.5753424657534,3923,835,0.326280907468774,0.362849725987886,40.7882352941176
"J Martin","CF",1018,2652,337,666,130,17,85,345,207,574,38,23,0.251,0.307,0.409,0.714476710047971,1085,0.158,0.360627177700348,61,62.2950819672131,2859,682,0.305351521511018,0.409125188536953,31.2
"B Mueller","3B",1216,4223,663,1229,265,22,85,493,543,571,20,18,0.291,0.373,0.425,0.796379934473497,1793,0.134,0.950963222416813,38,52.6315789473684,4766,1156,0.371800251783466,0.424579682690031,49.6823529411765
"G Williams","LF",1168,3059,474,780,183,18,85,365,180,530,106,57,0.255,0.301,0.41,0.70632566220308,1254,0.155,0.339622641509434,163,65.0306748466258,3239,839,0.296387774004322,0.409937888198758,35.9882352941176
"N Mazara","OF",684,2448,294,626,114,9,85,360,197,592,7,6,0.256,0.315,0.414,0.724960308635111,1013,0.158,0.33277027027027,13,53.8461538461538,2645,654,0.311153119092628,0.413807189542484,28.8
"F Luderus","1B",1346,4851,570,1344,251,54,84,642,414,421,55,8,0.277,0.34,0.403,0.736912822627108,1955,0.126,0.983372921615202,63,87.3015873015873,5265,1212,0.333903133903134,0.403009688723974,57.75
